"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"75-79 years"	"75-79"	772	46851	1647.78
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"80-84 years"	"80-84"	622	28251	2201.69
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"85+ years"	"85+"	581	18053	3218.30
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"< 1 year"	"1"	Suppressed	29134	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	116056	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	147800	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	158212	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	157222	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	162619	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"25-29 years"	"25-29"	16	142137	11.26
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"30-34 years"	"30-34"	21	153189	13.71
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"35-39 years"	"35-39"	66	164153	40.21
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"40-44 years"	"40-44"	86	176731	48.66
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"45-49 years"	"45-49"	173	170139	101.68
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"50-54 years"	"50-54"	243	153731	158.07
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"55-59 years"	"55-59"	342	129135	264.84
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"60-64 years "	"60-64"	393	105395	372.88
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"65-69 years"	"65-69"	504	92202	546.63
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"70-74 years"	"70-74"	611	83947	727.84
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"75-79 years"	"75-79"	698	71975	969.78
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"80-84 years"	"80-84"	560	52213	1072.53
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"85+ years"	"85+"	676	48380	1397.27
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"< 1 year"	"1"	0	29829	0.00
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	121027	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	154832	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	166796	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	163527	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	160193	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"25-29 years"	"25-29"	Suppressed	138866	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"30-34 years"	"30-34"	23	149479	15.39
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"35-39 years"	"35-39"	28	156961	17.84
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"40-44 years"	"40-44"	85	168292	50.51
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"45-49 years"	"45-49"	188	160859	116.87
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"50-54 years"	"50-54"	317	145177	218.35
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"55-59 years"	"55-59"	473	119508	395.79
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"60-64 years "	"60-64"	568	93485	607.58
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"65-69 years"	"65-69"	704	78293	899.19
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"70-74 years"	"70-74"	843	64017	1316.84
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"75-79 years"	"75-79"	820	47624	1721.82
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"80-84 years"	"80-84"	650	28910	2248.36
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"85+ years"	"85+"	560	18044	3103.52
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"< 1 year"	"1"	Suppressed	28339	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	116271	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	146274	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	159266	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	157477	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	163919	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"25-29 years"	"25-29"	Suppressed	142041	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"30-34 years"	"30-34"	16	153006	10.46
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"35-39 years"	"35-39"	47	159449	29.48
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"40-44 years"	"40-44"	103	175672	58.63
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"45-49 years"	"45-49"	171	173407	98.61
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"50-54 years"	"50-54"	257	155362	165.42
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"55-59 years"	"55-59"	305	133847	227.87
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"60-64 years "	"60-64"	424	109568	386.97
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"65-69 years"	"65-69"	533	93867	567.82
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"70-74 years"	"70-74"	601	82933	724.68
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"75-79 years"	"75-79"	664	72350	917.76
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"80-84 years"	"80-84"	602	53496	1125.32
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	713	47525	1500.26
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"< 1 year"	"1"	Suppressed	29682	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	120912	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	152874	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	167376	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	164178	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	163064	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"25-29 years"	"25-29"	Suppressed	138346	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"30-34 years"	"30-34"	24	149716	16.03
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"35-39 years"	"35-39"	41	152711	26.85
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"40-44 years"	"40-44"	95	167519	56.71
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"45-49 years"	"45-49"	187	163830	114.14
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"50-54 years"	"50-54"	332	146758	226.22
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"55-59 years"	"55-59"	458	124704	367.27
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"60-64 years "	"60-64"	614	97551	629.41
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"65-69 years"	"65-69"	755	79768	946.49
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"70-74 years"	"70-74"	807	64399	1253.13
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"75-79 years"	"75-79"	824	48391	1702.80
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"80-84 years"	"80-84"	631	29601	2131.68
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"85+ years"	"85+"	535	18042	2965.30
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"< 1 year"	"1"	0	29033	0.00
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	116238	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	145606	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	159030	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	159259	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	163736	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"25-29 years"	"25-29"	Suppressed	143951	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"30-34 years"	"30-34"	28	152100	18.41
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"35-39 years"	"35-39"	51	155830	32.73
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"40-44 years"	"40-44"	101	174844	57.77
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"45-49 years"	"45-49"	177	175458	100.88
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"50-54 years"	"50-54"	243	158552	153.26
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"55-59 years"	"55-59"	380	140011	271.41
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"60-64 years "	"60-64"	431	113285	380.46
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"65-69 years"	"65-69"	491	95545	513.89
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"70-74 years"	"70-74"	608	82331	738.48
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"75-79 years"	"75-79"	681	71793	948.56
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"80-84 years"	"80-84"	595	54064	1100.55
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"85+ years"	"85+"	674	47191	1428.24
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"< 1 year"	"1"	Suppressed	29894	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	120805	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	151948	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	167198	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	165836	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	163013	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"25-29 years"	"25-29"	Suppressed	139913	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"30-34 years"	"30-34"	17	147796	11.50
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"35-39 years"	"35-39"	28	149728	18.70
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"40-44 years"	"40-44"	101	167409	60.33
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"45-49 years"	"45-49"	185	165310	111.91
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"50-54 years"	"50-54"	305	149053	204.63
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"55-59 years"	"55-59"	507	130369	388.90
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"60-64 years "	"60-64"	597	101698	587.03
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"65-69 years"	"65-69"	723	81138	891.07
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"70-74 years"	"70-74"	757	64697	1170.07
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"75-79 years"	"75-79"	801	48529	1650.56
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"80-84 years"	"80-84"	628	30226	2077.68
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"85+ years"	"85+"	561	18312	3063.56
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"< 1 year"	"1"	0	29221	0.00
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	116184	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	145811	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	157484	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	161596	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	163436	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"25-29 years"	"25-29"	Suppressed	147523	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"30-34 years"	"30-34"	25	149510	16.72
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"35-39 years"	"35-39"	47	154595	30.40
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"40-44 years"	"40-44"	105	173303	60.59
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"45-49 years"	"45-49"	180	176807	101.81
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"50-54 years"	"50-54"	282	162169	173.89
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"55-59 years"	"55-59"	346	147097	235.22
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"60-64 years "	"60-64"	447	116027	385.26
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"65-69 years"	"65-69"	522	96873	538.85
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"70-74 years"	"70-74"	612	82896	738.27
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"75-79 years"	"75-79"	663	71576	926.29
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"80-84 years"	"80-84"	623	54186	1149.74
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"85+ years"	"85+"	720	48220	1493.16
