"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"85+ years"	"85+"	579	18053	3207.22
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"< 1 year"	"1"	Suppressed	29134	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"1-4 years"	"1-4"	17	116056	14.65
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	147800	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"10-14 years"	"10-14"	21	158212	13.27
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"15-19 years"	"15-19"	23	157222	14.63
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"20-24 years"	"20-24"	45	162619	27.67
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"25-29 years"	"25-29"	91	142137	64.02
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"30-34 years"	"30-34"	173	153189	112.93
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"35-39 years"	"35-39"	304	164153	185.19
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"40-44 years"	"40-44"	536	176731	303.29
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"45-49 years"	"45-49"	791	170139	464.91
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"50-54 years"	"50-54"	955	153731	621.21
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"55-59 years"	"55-59"	1104	129135	854.92
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"60-64 years "	"60-64"	1194	105395	1132.88
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"65-69 years"	"65-69"	1278	92202	1386.09
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"70-74 years"	"70-74"	1327	83947	1580.76
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"75-79 years"	"75-79"	1259	71975	1749.22
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"80-84 years"	"80-84"	959	52213	1836.71
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"85+ years"	"85+"	765	48380	1581.23
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"< 1 year"	"1"	Suppressed	29829	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"1-4 years"	"1-4"	28	121027	23.14
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"5-9 years"	"5-9"	21	154832	13.56
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"10-14 years"	"10-14"	22	166796	13.19
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"15-19 years"	"15-19"	44	163527	26.91
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"20-24 years"	"20-24"	48	160193	29.96
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"25-29 years"	"25-29"	54	138866	38.89
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"30-34 years"	"30-34"	93	149479	62.22
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"35-39 years"	"35-39"	153	156961	97.48
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"40-44 years"	"40-44"	257	168292	152.71
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"45-49 years"	"45-49"	510	160859	317.05
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"50-54 years"	"50-54"	856	145177	589.63
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"55-59 years"	"55-59"	1302	119508	1089.47
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"60-64 years "	"60-64"	1515	93485	1620.58
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"65-69 years"	"65-69"	1766	78293	2255.63
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"70-74 years"	"70-74"	1747	64017	2728.96
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"75-79 years"	"75-79"	1386	47624	2910.30
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"80-84 years"	"80-84"	923	28910	3192.67
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"85+ years"	"85+"	546	18044	3025.94
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"< 1 year"	"1"	Suppressed	28339	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"1-4 years"	"1-4"	16	116271	13.76
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	146274	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	159266	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"15-19 years"	"15-19"	35	157477	22.23
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"20-24 years"	"20-24"	48	163919	29.28
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"25-29 years"	"25-29"	76	142041	53.51
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"30-34 years"	"30-34"	171	153006	111.76
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"35-39 years"	"35-39"	285	159449	178.74
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"40-44 years"	"40-44"	476	175672	270.96
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"45-49 years"	"45-49"	754	173407	434.82
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"50-54 years"	"50-54"	957	155362	615.98
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"55-59 years"	"55-59"	1050	133847	784.48
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"60-64 years "	"60-64"	1151	109568	1050.49
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"65-69 years"	"65-69"	1240	93867	1321.02
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"70-74 years"	"70-74"	1231	82933	1484.33
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"75-79 years"	"75-79"	1123	72350	1552.18
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"80-84 years"	"80-84"	885	53496	1654.33
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	710	47525	1493.95
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"< 1 year"	"1"	Suppressed	29682	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"1-4 years"	"1-4"	16	120912	13.23
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	152874	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	19	167376	11.35
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	31	164178	18.88
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	34	163064	20.85
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"25-29 years"	"25-29"	63	138346	45.54
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"30-34 years"	"30-34"	96	149716	64.12
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"35-39 years"	"35-39"	159	152711	104.12
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"40-44 years"	"40-44"	281	167519	167.74
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"45-49 years"	"45-49"	514	163830	313.74
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"50-54 years"	"50-54"	860	146758	586.00
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"55-59 years"	"55-59"	1169	124704	937.42
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"60-64 years "	"60-64"	1475	97551	1512.03
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"65-69 years"	"65-69"	1765	79768	2212.67
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"70-74 years"	"70-74"	1790	64399	2779.55
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"75-79 years"	"75-79"	1490	48391	3079.08
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"80-84 years"	"80-84"	865	29601	2922.20
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"85+ years"	"85+"	585	18042	3242.43
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"< 1 year"	"1"	Suppressed	29033	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"1-4 years"	"1-4"	23	116238	19.79
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"5-9 years"	"5-9"	22	145606	15.11
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"10-14 years"	"10-14"	23	159030	14.46
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"15-19 years"	"15-19"	29	159259	18.21
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"20-24 years"	"20-24"	43	163736	26.26
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"25-29 years"	"25-29"	91	143951	63.22
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"30-34 years"	"30-34"	158	152100	103.88
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"35-39 years"	"35-39"	276	155830	177.12
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"40-44 years"	"40-44"	562	174844	321.43
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"45-49 years"	"45-49"	795	175458	453.10
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"50-54 years"	"50-54"	979	158552	617.46
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"55-59 years"	"55-59"	1202	140011	858.50
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"60-64 years "	"60-64"	1207	113285	1065.45
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"65-69 years"	"65-69"	1318	95545	1379.45
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"70-74 years"	"70-74"	1272	82331	1544.98
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"75-79 years"	"75-79"	1204	71793	1677.04
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"80-84 years"	"80-84"	926	54064	1712.78
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"85+ years"	"85+"	793	47191	1680.41
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"< 1 year"	"1"	Suppressed	29894	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"1-4 years"	"1-4"	32	120805	26.49
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"5-9 years"	"5-9"	28	151948	18.43
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"10-14 years"	"10-14"	20	167198	11.96
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"15-19 years"	"15-19"	31	165836	18.69
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"20-24 years"	"20-24"	51	163013	31.29
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"25-29 years"	"25-29"	61	139913	43.60
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"30-34 years"	"30-34"	105	147796	71.04
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"35-39 years"	"35-39"	125	149728	83.48
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"40-44 years"	"40-44"	276	167409	164.87
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"45-49 years"	"45-49"	527	165310	318.79
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"50-54 years"	"50-54"	976	149053	654.80
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"55-59 years"	"55-59"	1409	130369	1080.78
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"60-64 years "	"60-64"	1692	101698	1663.75
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"65-69 years"	"65-69"	1843	81138	2271.44
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"70-74 years"	"70-74"	1726	64697	2667.82
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"75-79 years"	"75-79"	1531	48529	3154.81
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"80-84 years"	"80-84"	998	30226	3301.79
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"85+ years"	"85+"	594	18312	3243.77
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"< 1 year"	"1"	Suppressed	29221	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"1-4 years"	"1-4"	19	116184	16.35
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	145811	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"10-14 years"	"10-14"	16	157484	10.16
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"15-19 years"	"15-19"	33	161596	20.42
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"20-24 years"	"20-24"	54	163436	33.04
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"25-29 years"	"25-29"	83	147523	56.26
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"30-34 years"	"30-34"	155	149510	103.67
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"35-39 years"	"35-39"	283	154595	183.06
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"40-44 years"	"40-44"	512	173303	295.44
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"45-49 years"	"45-49"	842	176807	476.23
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"50-54 years"	"50-54"	1012	162169	624.04
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"55-59 years"	"55-59"	1210	147097	822.59
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"60-64 years "	"60-64"	1257	116027	1083.37
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"65-69 years"	"65-69"	1413	96873	1458.61
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"70-74 years"	"70-74"	1284	82896	1548.93
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"75-79 years"	"75-79"	1234	71576	1724.04
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"80-84 years"	"80-84"	913	54186	1684.94
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"85+ years"	"85+"	840	48220	1742.02
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"< 1 year"	"1"	Suppressed	30204	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"1-4 years"	"1-4"	22	120631	18.24
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	152436	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"10-14 years"	"10-14"	16	165079	9.69
